ID,LANGUAGE,TEXT,SOURCE
good evening,aklanon,maayad-ayad nga gabi-i,https://wikitravel.org/en/Akeanon_phrasebook
good evening,bahasa sug,marayaw dum,
good evening,bikol,Marhay na banggi,https://wikitravel.org/en/Bikol_phrasebook
good evening,binukid,Maayad ha dalemen,https://binukid.blogspot.com/2013/06/lets-start-with-greetings.html
good evening,buhid,Fiya fag yabi,
good evening,capiznon,Mayad-ayad nga gab-i,https://wikitravel.org/en/Capiznon_phrasebook
good evening,cebuano,maayong gabii,
good evening,chavacano,buenas noches,
good evening,cuyonon,mayad nga gabi,
good evening,english,good evening,
good evening,hiligaynon,Ma-ayong gab-i,
good evening,ibanag,mapia nga gabi,
good evening,ilocano,Naimbag a rabii,https://wikitravel.org/en/Ilocano_phrasebook
good evening,ivatan,mavid a mahep,
good evening,kapampangan,Mayap a bengi,https://en.wikibooks.org/wiki/Kapampangan/Greeting
good evening,kinaray-a,mayad nga gabi-i,
good evening,maguindanao,mapia magabi,
good evening,meranaw,mapiya gagawi-i,
good evening,pangasinense,Maabig ya labi,https://pag.wikipedia.org/wiki/Greetings
good evening,sambal,Maabig a yabi,
good evening,surigaonon,marajaw na duyom,
good evening,tagalog,magandang gabi,
good evening,waray,Maupay nga gab-i,https://wikitravel.org/en/Waray_phrasebook
good evening,yakan,kasanyangan si sangem bi,
